,JTXX_ID,ZXSZK,JKZK,CJDJ,CJLB,LDJN,SFSW,SFZP
217,1,0.0,1,0,0.0,1,0,0
28191,1,22.0,1,0,0.0,2,1,0
34145,1,4.0,1,0,0.0,5,1,0
8915,1,0.0,1,0,0.0,2,1,0
28383,2,0.0,4,2,3.0,3,1,0
47547,3,0.0,2,0,0.0,5,1,1
52206,4,0.0,2,0,0.0,5,1,0
47757,4,0.0,4,2,3.0,4,1,0
218,5,0.0,2,0,0.0,5,1,1
49889,5,0.0,4,3,1.0,5,1,1
2701,6,0.0,4,4,6.0,3,1,0
765,6,0.0,1,0,0.0,3,1,0
1620,6,0.0,4,3,1.0,5,1,0
6298,6,0.0,4,2,2.0,4,1,0
4160,6,3.0,1,0,0.0,5,1,0
4767,6,0.0,1,0,0.0,2,1,0
5300,6,3.0,1,0,0.0,5,1,0
9028,7,0.0,2,0,0.0,4,1,1
11875,8,0.0,4,4,4.0,5,1,0
8916,8,0.0,4,2,3.0,3,1,0
17789,9,0.0,2,0,0.0,5,1,0
10165,9,0.0,4,4,1.0,5,1,0
19682,10,12.0,1,0,0.0,2,1,0
19634,10,0.0,2,0,0.0,3,1,0
18650,11,0.0,2,0,0.0,3,1,0
15499,11,8.0,1,0,0.0,2,1,0
26358,11,0.0,1,0,0.0,3,1,0
13496,12,0.0,2,0,0.0,3,1,0
26717,13,0.0,1,0,0.0,3,1,0
28192,14,0.0,4,4,1.0,3,1,0
26557,15,0.0,4,4,1.0,3,1,0
22913,15,0.0,1,0,0.0,2,1,0
27500,16,0.0,1,0,0.0,3,1,1
15893,16,0.0,2,0,0.0,4,1,1
15351,17,0.0,2,0,0.0,5,1,0
33770,17,0.0,1,0,0.0,2,1,0
29637,17,9.0,1,0,0.0,2,1,0
34146,18,0.0,1,0,0.0,2,1,0
28551,18,0.0,4,2,2.0,4,1,0
29946,18,0.0,1,0,0.0,2,1,0
41362,19,0.0,2,0,0.0,2,1,0
38465,19,0.0,1,0,0.0,2,1,0
40017,19,0.0,4,2,2.0,4,1,0
38409,20,0.0,1,0,0.0,2,1,0
38501,20,0.0,4,3,1.0,4,1,0
36640,21,0.0,1,0,0.0,3,1,0
47984,21,0.0,1,0,0.0,2,1,0
31512,21,0.0,1,0,0.0,2,1,0
47475,21,0.0,4,4,3.0,4,1,0
28384,21,2.0,1,0,0.0,5,1,0
28815,22,0.0,4,4,2.0,4,1,0
48331,22,0.0,1,0,0.0,2,1,0
45986,23,0.0,1,0,0.0,3,1,0
43698,24,0.0,1,0,0.0,2,1,0
47516,24,0.0,2,0,0.0,3,1,0
